id,stockLevel,price,name
81,45,35,Python-Filet
82,50,40,Alligator-Steak
83,70,38,Crocodile-Burger
84,30,45,Turtle-Soup
85,25,55,Iguana-Roast
86,65,25,Lizard-Legs
87,50,48,Rattlesnake-Ribs
88,40,60,Tortoise-Tenders
89,15,75,Komodo-Dragon-Chops
90,55,30,Gecko-Goulash
74,110,1.2,Solid-Potato
60,200,0.6,Aubergine
71,160,0.4,Red-Bell-Pepper
66,110,0.7,Leek
67,140,0.5,Brown-Cap-Mushroom
59,100,3.4,Asparagus
68,130,0.8,Yellow-Onion
72,140,0.4,Yellow-Bell-Pepper
78,80,0.26,Regular-Tomato
75,95,0.9,Sweet-Potato