id,stock_level,price,name
59,100,1.5,Asparagus
60,200,0.5,Aubergine
61,150,1,Cabbage
62,120,0.2,Carrots
63,180,0.3,Cucumber
64,80,0.05,Garlic
65,90,0.1,Ginger
66,110,0.6,Leek
67,140,0.2,Brown-Cap-Mushroom
68,130,0.3,Yellow-Onion
69,120,0.2,Green-Bell-Pepper
70,150,0.2,Orange-Bell-Pepper
71,160,0.2,Red-Bell-Pepper
72,140,0.2,Yellow-Bell-Pepper
73,100,1,Floury-Potato
74,110,1,Solid-Potato
75,95,0.7,Sweet-Potato
76,105,0.5,Red-Beet
77,70,0.3,Beef-Tomato
78,80,0.2,Regular-Tomato
79,85,0.15,Vine-Tomato
80,32,0.9,Zucchini